epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6809,1.38241,3.36117,1.21376,0.51207,0.26358,0.41101,0.28561,1.10674,2.57408,1.03116,0.000550705,0.000550705,0.000550705
2,44.3227,1.20612,2.29726,1.13687,0.45735,0.70899,0.4629,0.32366,1.09171,2.34536,1.09445,0.00088731,0.00088731,0.00088731
3,65.6749,1.1742,1.97629,1.11747,0.47219,0.77674,0.4883,0.34754,1.08217,1.54019,1.05828,0.00100387,0.00100387,0.00100387
4,85.6857,1.12253,1.79432,1.09662,0.4663,0.76317,0.50453,0.36886,0.97826,1.41036,1.00888,0.000676802,0.000676802,0.000676802
5,105.611,1.06483,1.6137,1.07888,0.47942,0.8132,0.49914,0.36067,0.9874,1.26541,1.01925,0.000346736,0.000346736,0.000346736
