epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.733,1.33666,3.28883,1.20504,0.45425,0.46949,0.38287,0.23549,1.2339,3.18696,1.1437,0.000550705,0.000550705,0.000550705
2,420.395,1.2648,2.40002,1.16879,0.40617,0.61496,0.39479,0.27134,1.16588,2.7657,1.19673,0.00088731,0.00088731,0.00088731
3,626.435,1.2259,2.0037,1.14947,0.43559,0.82045,0.48608,0.33284,1.08925,2.01192,1.05724,0.00100387,0.00100387,0.00100387
4,801.215,1.16468,1.79218,1.12512,0.45793,0.79541,0.51507,0.36701,1.05481,1.74819,1.05406,0.000676802,0.000676802,0.000676802
5,975.355,1.0868,1.61323,1.08375,0.47387,0.82089,0.49367,0.35646,0.98169,1.63382,1.03009,0.000346736,0.000346736,0.000346736
